# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Mon Apr 14 08:21:51 2025
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1995,8,1995.625,1743.57,1.09,1749.28,0.50
1995,9,1995.708,1749.79,1.11,1749.49,0.49
1995,10,1995.792,1754.35,0.90,1749.68,0.49
1995,11,1995.875,1755.49,0.97,1749.84,0.49
1995,12,1995.958,1753.87,1.02,1750.00,0.51
1996,1,1996.042,1752.22,1.03,1750.15,0.53
1996,2,1996.125,1752.71,1.08,1750.30,0.56
1996,3,1996.208,1752.23,0.92,1750.47,0.59
1996,4,1996.292,1749.59,1.06,1750.65,0.62
1996,5,1996.375,1748.26,1.12,1750.84,0.64
1996,6,1996.458,1746.04,0.94,1751.05,0.66
1996,7,1996.542,1742.04,0.94,1751.27,0.67
1996,8,1996.625,1744.24,1.17,1751.50,0.67
1996,9,1996.708,1752.60,1.23,1751.74,0.66
1996,10,1996.792,1758.86,0.92,1751.97,0.64
1996,11,1996.875,1760.02,0.85,1752.20,0.61
1996,12,1996.958,1756.93,0.77,1752.44,0.58
1997,1,1997.042,1753.37,0.95,1752.68,0.53
1997,2,1997.125,1753.84,1.14,1752.92,0.48
1997,3,1997.208,1755.68,0.87,1753.18,0.44
1997,4,1997.292,1755.53,0.95,1753.48,0.40
1997,5,1997.375,1753.82,0.71,1753.82,0.36
1997,6,1997.458,1750.14,0.87,1754.22,0.34
1997,7,1997.542,1746.13,0.93,1754.69,0.33
1997,8,1997.625,1747.87,0.89,1755.25,0.34
1997,9,1997.708,1755.03,0.87,1755.90,0.36
1997,10,1997.792,1760.24,0.74,1756.64,0.39
1997,11,1997.875,1761.68,0.93,1757.48,0.42
1997,12,1997.958,1761.92,0.79,1758.41,0.45
1998,1,1998.042,1761.44,0.87,1759.45,0.48
1998,2,1998.125,1761.41,1.36,1760.50,0.50
1998,3,1998.208,1762.96,1.47,1761.61,0.52
1998,4,1998.292,1764.71,0.95,1762.78,0.54
1998,5,1998.375,1764.22,0.75,1763.96,0.55
1998,6,1998.458,1760.34,0.70,1765.13,0.56
1998,7,1998.542,1756.16,1.00,1766.25,0.57
1998,8,1998.625,1760.18,0.99,1767.34,0.59
1998,9,1998.708,1770.68,1.42,1768.33,0.60
1998,10,1998.792,1776.23,1.39,1769.23,0.61
1998,11,1998.875,1775.46,0.96,1770.02,0.62
1998,12,1998.958,1774.06,0.76,1770.72,0.62
1999,1,1999.042,1773.80,0.98,1771.31,0.62
1999,2,1999.125,1773.90,1.38,1771.78,0.62
1999,3,1999.208,1774.63,1.11,1772.16,0.61
1999,4,1999.292,1775.02,0.75,1772.48,0.60
1999,5,1999.375,1772.68,0.84,1772.72,0.58
1999,6,1999.458,1767.38,0.79,1772.91,0.57
1999,7,1999.542,1762.98,0.82,1773.05,0.56
1999,8,1999.625,1764.65,0.84,1773.16,0.56
1999,9,1999.708,1771.06,0.83,1773.25,0.57
1999,10,1999.792,1776.65,0.88,1773.31,0.58
1999,11,1999.875,1778.58,0.79,1773.36,0.60
1999,12,1999.958,1777.29,0.77,1773.40,0.62
2000,1,2000.042,1775.69,1.12,1773.41,0.65
2000,2,2000.125,1775.73,1.49,1773.42,0.67
2000,3,2000.208,1776.76,1.46,1773.40,0.68
2000,4,2000.292,1777.32,1.24,1773.35,0.69
2000,5,2000.375,1774.60,1.16,1773.28,0.70
2000,6,2000.458,1768.17,1.11,1773.18,0.70
2000,7,2000.542,1763.54,0.89,1773.06,0.69
2000,8,2000.625,1765.56,1.07,1772.90,0.69
2000,9,2000.708,1772.13,1.10,1772.72,0.68
2000,10,2000.792,1777.13,0.86,1772.53,0.66
2000,11,2000.875,1777.82,0.94,1772.32,0.65
2000,12,2000.958,1775.41,1.22,1772.11,0.64
2001,1,2001.042,1772.88,0.93,1771.90,0.62
2001,2,2001.125,1772.49,0.84,1771.72,0.60
2001,3,2001.208,1773.68,0.94,1771.55,0.59
2001,4,2001.292,1773.89,0.67,1771.40,0.57
2001,5,2001.375,1770.85,0.65,1771.27,0.55
2001,6,2001.458,1766.11,0.87,1771.18,0.53
2001,7,2001.542,1763.03,0.98,1771.12,0.52
2001,8,2001.625,1764.49,0.94,1771.09,0.50
2001,9,2001.708,1770.46,0.93,1771.09,0.48
2001,10,2001.792,1775.49,0.82,1771.12,0.46
2001,11,2001.875,1776.55,0.69,1771.17,0.45
2001,12,2001.958,1775.94,1.08,1771.24,0.44
2002,1,2002.042,1774.10,1.37,1771.34,0.43
2002,2,2002.125,1772.80,1.05,1771.44,0.43
2002,3,2002.208,1773.43,0.56,1771.57,0.43
2002,4,2002.292,1772.76,0.75,1771.72,0.45
2002,5,2002.375,1770.28,0.74,1771.90,0.47
2002,6,2002.458,1766.92,0.85,1772.10,0.49
2002,7,2002.542,1764.23,0.95,1772.34,0.51
2002,8,2002.625,1766.83,0.99,1772.63,0.53
2002,9,2002.708,1773.68,1.01,1772.96,0.55
2002,10,2002.792,1778.26,1.45,1773.33,0.56
2002,11,2002.875,1779.49,1.17,1773.75,0.56
2002,12,2002.958,1779.67,0.67,1774.22,0.55
2003,1,2003.042,1777.53,1.11,1774.73,0.54
2003,2,2003.125,1774.80,1.06,1775.26,0.53
2003,3,2003.208,1774.87,0.85,1775.81,0.52
2003,4,2003.292,1775.81,1.54,1776.39,0.51
2003,5,2003.375,1774.42,1.23,1776.96,0.51
2003,6,2003.458,1771.70,1.23,1777.52,0.52
2003,7,2003.542,1770.72,1.83,1778.02,0.53
2003,8,2003.625,1774.28,1.73,1778.48,0.55
2003,9,2003.708,1780.57,1.26,1778.84,0.57
2003,10,2003.792,1784.69,1.00,1779.12,0.59
2003,11,2003.875,1785.26,1.05,1779.28,0.60
2003,12,2003.958,1783.58,1.11,1779.33,0.61
2004,1,2004.042,1780.90,1.14,1779.26,0.61
2004,2,2004.125,1779.95,0.96,1779.08,0.61
2004,3,2004.208,1781.00,0.95,1778.80,0.60
2004,4,2004.292,1780.72,0.83,1778.42,0.59
2004,5,2004.375,1777.55,0.97,1777.97,0.58
2004,6,2004.458,1772.31,1.09,1777.47,0.58
2004,7,2004.542,1768.05,0.82,1776.93,0.57
2004,8,2004.625,1769.77,0.97,1776.38,0.57
2004,9,2004.708,1775.51,1.08,1775.86,0.57
2004,10,2004.792,1779.69,1.03,1775.38,0.57
2004,11,2004.875,1780.46,1.05,1774.96,0.57
2004,12,2004.958,1778.39,0.92,1774.61,0.57
2005,1,2005.042,1776.32,1.17,1774.34,0.56
2005,2,2005.125,1775.78,1.03,1774.17,0.55
2005,3,2005.208,1775.46,0.90,1774.08,0.55
2005,4,2005.292,1774.58,0.80,1774.05,0.54
2005,5,2005.375,1772.21,0.72,1774.09,0.54
2005,6,2005.458,1768.57,0.98,1774.18,0.54
2005,7,2005.542,1766.27,0.83,1774.30,0.55
2005,8,2005.625,1768.02,0.89,1774.43,0.55
2005,9,2005.708,1773.11,1.21,1774.55,0.55
2005,10,2005.792,1778.49,1.43,1774.66,0.55
2005,11,2005.875,1781.20,0.75,1774.73,0.54
2005,12,2005.958,1780.29,1.25,1774.78,0.53
2006,1,2006.042,1779.55,0.94,1774.79,0.51
2006,2,2006.125,1779.46,0.78,1774.78,0.49
2006,3,2006.208,1777.40,0.81,1774.75,0.48
2006,4,2006.292,1776.13,0.64,1774.72,0.47
2006,5,2006.375,1774.95,0.93,1774.71,0.46
2006,6,2006.458,1769.31,1.34,1774.73,0.47
2006,7,2006.542,1764.19,1.26,1774.81,0.48
2006,8,2006.625,1767.19,1.20,1774.96,0.49
2006,9,2006.708,1774.56,1.38,1775.19,0.51
2006,10,2006.792,1778.23,0.88,1775.50,0.53
2006,11,2006.875,1779.05,0.78,1775.91,0.55
2006,12,2006.958,1779.96,0.82,1776.41,0.57
2007,1,2007.042,1779.16,1.07,1777.00,0.58
2007,2,2007.125,1778.56,1.16,1777.62,0.59
2007,3,2007.208,1780.31,1.01,1778.29,0.59
2007,4,2007.292,1781.12,1.13,1779.01,0.59
2007,5,2007.375,1779.41,1.48,1779.75,0.59
2007,6,2007.458,1775.62,1.24,1780.48,0.59
2007,7,2007.542,1772.61,1.11,1781.20,0.58
2007,8,2007.625,1777.18,1.43,1781.90,0.58
2007,9,2007.708,1785.89,1.41,1782.55,0.58
2007,10,2007.792,1789.85,1.07,1783.16,0.58
2007,11,2007.875,1789.50,0.91,1783.74,0.59
2007,12,2007.958,1788.20,0.98,1784.28,0.59
2008,1,2008.042,1786.70,0.93,1784.81,0.60
2008,2,2008.125,1785.78,1.04,1785.30,0.60
2008,3,2008.208,1786.19,1.36,1785.79,0.60
2008,4,2008.292,1786.89,1.24,1786.29,0.60
2008,5,2008.375,1785.18,0.97,1786.80,0.59
2008,6,2008.458,1780.48,0.87,1787.33,0.57
2008,7,2008.542,1777.65,0.97,1787.88,0.55
2008,8,2008.625,1781.04,0.96,1788.46,0.53
2008,9,2008.708,1787.67,0.99,1789.04,0.50
2008,10,2008.792,1793.68,0.74,1789.62,0.48
2008,11,2008.875,1797.30,1.08,1790.20,0.46
2008,12,2008.958,1796.62,0.98,1790.77,0.45
2009,1,2009.042,1795.07,0.76,1791.33,0.46
2009,2,2009.125,1795.57,1.06,1791.84,0.49
2009,3,2009.208,1796.00,1.05,1792.31,0.52
2009,4,2009.292,1795.56,0.88,1792.77,0.55
2009,5,2009.375,1792.32,0.75,1793.20,0.59
2009,6,2009.458,1786.92,0.89,1793.59,0.63
2009,7,2009.542,1784.97,1.09,1793.95,0.66
2009,8,2009.625,1788.82,0.97,1794.29,0.67
2009,9,2009.708,1794.83,1.31,1794.62,0.68
2009,10,2009.792,1798.04,1.59,1794.94,0.67
2009,11,2009.875,1797.89,0.96,1795.26,0.65
2009,12,2009.958,1796.72,0.84,1795.60,0.63
2010,1,2010.042,1797.12,1.17,1795.95,0.60
2010,2,2010.125,1798.75,1.37,1796.30,0.57
2010,3,2010.208,1799.49,1.23,1796.67,0.55
2010,4,2010.292,1799.65,0.99,1797.08,0.55
2010,5,2010.375,1797.70,1.30,1797.50,0.56
2010,6,2010.458,1792.56,1.40,1797.94,0.58
2010,7,2010.542,1789.47,1.04,1798.38,0.61
2010,8,2010.625,1794.08,1.01,1798.84,0.63
2010,9,2010.708,1801.85,1.01,1799.30,0.66
2010,10,2010.792,1806.58,1.10,1799.76,0.67
2010,11,2010.875,1806.99,1.15,1800.21,0.68
2010,12,2010.958,1803.33,0.96,1800.65,0.67
2011,1,2011.042,1800.05,0.93,1801.10,0.65
2011,2,2011.125,1799.99,0.84,1801.52,0.63
2011,3,2011.208,1801.00,0.67,1801.93,0.61
2011,4,2011.292,1802.90,0.87,1802.34,0.59
2011,5,2011.375,1803.29,1.01,1802.76,0.58
2011,6,2011.458,1799.17,0.76,1803.17,0.58
2011,7,2011.542,1796.21,0.95,1803.58,0.58
2011,8,2011.625,1799.04,1.03,1803.99,0.60
2011,9,2011.708,1804.08,1.57,1804.40,0.62
2011,10,2011.792,1809.59,1.60,1804.82,0.64
2011,11,2011.875,1812.38,1.25,1805.24,0.65
2011,12,2011.958,1810.06,1.14,1805.67,0.67
2012,1,2012.042,1807.39,0.89,1806.11,0.67
2012,2,2012.125,1808.34,1.18,1806.54,0.68
2012,3,2012.208,1810.09,0.87,1806.98,0.67
2012,4,2012.292,1808.50,0.62,1807.42,0.66
2012,5,2012.375,1804.74,1.38,1807.86,0.65
2012,6,2012.458,1801.02,1.31,1808.30,0.64
2012,7,2012.542,1799.39,1.13,1808.73,0.62
2012,8,2012.625,1803.28,1.13,1809.16,0.60
2012,9,2012.708,1810.17,1.28,1809.57,0.59
2012,10,2012.792,1814.84,0.98,1809.96,0.57
2012,11,2012.875,1815.94,1.17,1810.33,0.56
2012,12,2012.958,1814.60,0.87,1810.69,0.56
2013,1,2013.042,1814.05,0.90,1811.03,0.56
2013,2,2013.125,1814.12,1.42,1811.35,0.56
2013,3,2013.208,1813.27,1.15,1811.66,0.57
2013,4,2013.292,1812.83,0.75,1811.99,0.57
2013,5,2013.375,1811.93,0.85,1812.33,0.58
2013,6,2013.458,1808.57,1.17,1812.70,0.58
2013,7,2013.542,1805.78,1.51,1813.11,0.58
2013,8,2013.625,1808.38,1.13,1813.57,0.58
2013,9,2013.708,1814.33,0.89,1814.09,0.57
2013,10,2013.792,1818.59,0.63,1814.68,0.57
2013,11,2013.875,1820.33,0.70,1815.35,0.57
2013,12,2013.958,1819.34,0.87,1816.11,0.57
2014,1,2014.042,1816.84,0.97,1816.95,0.57
2014,2,2014.125,1816.37,1.03,1817.84,0.58
2014,3,2014.208,1818.16,1.05,1818.79,0.58
2014,4,2014.292,1820.90,0.82,1819.83,0.58
2014,5,2014.375,1821.88,0.94,1820.92,0.58
2014,6,2014.458,1818.34,0.91,1822.05,0.59
2014,7,2014.542,1815.54,1.15,1823.19,0.58
2014,8,2014.625,1819.71,1.23,1824.36,0.57
2014,9,2014.708,1826.88,1.07,1825.50,0.56
2014,10,2014.792,1831.23,0.62,1826.61,0.55
2014,11,2014.875,1833.05,0.59,1827.70,0.54
2014,12,2014.958,1833.54,0.85,1828.74,0.52
2015,1,2015.042,1833.01,0.93,1829.77,0.50
2015,2,2015.125,1832.88,0.82,1830.70,0.49
2015,3,2015.208,1833.17,0.67,1831.60,0.47
2015,4,2015.292,1833.14,1.10,1832.49,0.46
2015,5,2015.375,1831.61,1.06,1833.36,0.45
2015,6,2015.458,1827.23,0.85,1834.19,0.45
2015,7,2015.542,1824.73,0.99,1835.01,0.46
2015,8,2015.625,1829.12,1.05,1835.83,0.47
2015,9,2015.708,1836.22,1.05,1836.62,0.49
2015,10,2015.792,1841.46,0.99,1837.40,0.52
2015,11,2015.875,1844.71,1.17,1838.16,0.54
2015,12,2015.958,1844.91,1.12,1838.91,0.57
2016,1,2016.042,1842.45,0.96,1839.66,0.60
2016,2,2016.125,1841.62,1.23,1840.36,0.62
2016,3,2016.208,1843.04,0.93,1841.04,0.64
2016,4,2016.292,1843.75,0.71,1841.70,0.66
2016,5,2016.375,1842.10,0.97,1842.34,0.66
2016,6,2016.458,1837.84,1.25,1842.94,0.67
2016,7,2016.542,1834.17,1.17,1843.52,0.67
2016,8,2016.625,1836.68,1.21,1844.08,0.66
2016,9,2016.708,1844.19,1.36,1844.60,0.65
2016,10,2016.792,1849.87,1.20,1845.11,0.64
2016,11,2016.875,1851.42,1.24,1845.60,0.63
2016,12,2016.958,1851.07,0.96,1846.08,0.62
2017,1,2017.042,1849.68,0.85,1846.57,0.60
2017,2,2017.125,1848.37,1.06,1847.03,0.59
2017,3,2017.208,1848.20,1.22,1847.51,0.58
2017,4,2017.292,1848.55,1.31,1848.02,0.57
2017,5,2017.375,1847.11,0.82,1848.54,0.57
2017,6,2017.458,1842.94,0.92,1849.08,0.57
2017,7,2017.542,1840.41,1.48,1849.65,0.58
2017,8,2017.625,1844.62,1.28,1850.25,0.59
2017,9,2017.708,1852.75,1.01,1850.87,0.61
2017,10,2017.792,1858.01,1.02,1851.51,0.63
2017,11,2017.875,1858.50,0.88,1852.18,0.65
2017,12,2017.958,1856.53,0.93,1852.86,0.67
2018,1,2018.042,1854.43,0.94,1853.58,0.70
2018,2,2018.125,1854.95,0.78,1854.27,0.72
2018,3,2018.208,1856.89,0.77,1854.98,0.74
2018,4,2018.292,1856.71,0.93,1855.71,0.75
2018,5,2018.375,1854.80,1.48,1856.46,0.76
2018,6,2018.458,1852.03,1.53,1857.21,0.77
2018,7,2018.542,1849.10,1.70,1857.95,0.77
2018,8,2018.625,1851.91,1.84,1858.71,0.76
2018,9,2018.708,1860.49,0.92,1859.44,0.76
2018,10,2018.792,1865.76,1.02,1860.17,0.74
2018,11,2018.875,1866.25,1.04,1860.89,0.73
2018,12,2018.958,1866.05,0.97,1861.61,0.71
2019,1,2019.042,1864.99,1.05,1862.33,0.68
2019,2,2019.125,1865.00,0.92,1863.01,0.65
2019,3,2019.208,1866.34,0.92,1863.69,0.63
2019,4,2019.292,1865.33,0.57,1864.41,0.61
2019,5,2019.375,1861.95,1.17,1865.14,0.58
2019,6,2019.458,1858.79,1.37,1865.88,0.56
2019,7,2019.542,1858.24,1.43,1866.65,0.54
2019,8,2019.625,1862.89,1.43,1867.47,0.53
2019,9,2019.708,1870.79,1.14,1868.31,0.52
2019,10,2019.792,1875.42,1.17,1869.18,0.52
2019,11,2019.875,1875.59,0.95,1870.10,0.53
2019,12,2019.958,1874.64,0.75,1871.07,0.55
2020,1,2020.042,1872.90,1.06,1872.09,0.57
2020,2,2020.125,1872.26,0.98,1873.13,0.59
2020,3,2020.208,1874.41,0.74,1874.20,0.60
2020,4,2020.292,1875.81,1.53,1875.34,0.62
2020,5,2020.375,1874.39,1.32,1876.51,0.62
2020,6,2020.458,1871.99,1.08,1877.72,0.62
2020,7,2020.542,1871.48,1.16,1878.96,0.62
2020,8,2020.625,1876.37,1.14,1880.25,0.61
