Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2021,2021,°c,-0.122,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2022,2022,°c,2.615,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7001,January,2023,2023,°c,-2.14,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1992,1992,°c,0.274,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1993,1993,°c,1.553,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1994,1994,°c,-1.264,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1995,1995,°c,-0.523,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1996,1996,°c,0.407,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1997,1997,°c,0.253,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1998,1998,°c,-0.044,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,1999,1999,°c,4.905,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2000,2000,°c,-1.065,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2001,2001,°c,1.487,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2002,2002,°c,1.871,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2003,2003,°c,1.822,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2004,2004,°c,3.175,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2005,2005,°c,-0.99,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2006,2006,°c,4.276,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2007,2007,°c,2.931,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2008,2008,°c,-2.612,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2009,2009,°c,2.502,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2010,2010,°c,0.688,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2011,2011,°c,0.746,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2012,2012,°c,-3.398,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2013,2013,°c,2.172,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2014,2014,°c,-2.712,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2015,2015,°c,3.282,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2016,2016,°c,2.525,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2017,2017,°c,0.406,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2018,2018,°c,3.483,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2019,2019,°c,1.503,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2020,2020,°c,3.03,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2021,2021,°c,4.524,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2022,2022,°c,1.986,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7002,February,2023,2023,°c,2.668,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1992,1992,°c,-2.474,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1993,1993,°c,-1.901,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1994,1994,°c,1.071,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1995,1995,°c,-0.72,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1996,1996,°c,-0.504,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1997,1997,°c,0.855,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1998,1998,°c,-0.677,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,1999,1999,°c,-0.362,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2000,2000,°c,-0.135,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2001,2001,°c,2.471,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2002,2002,°c,2.713,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2003,2003,°c,-0.602,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2004,2004,°c,2.5,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2005,2005,°c,3.267,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2006,2006,°c,1.821,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2007,2007,°c,1.245,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2008,2008,°c,5.752,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2009,2009,°c,2.628,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2010,2010,°c,2.942,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2011,2011,°c,1.119,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2012,2012,°c,-1.936,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2013,2013,°c,3.23,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2014,2014,°c,0.578,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2015,2015,°c,0.522,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2016,2016,°c,4.483,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2017,2017,°c,-0.19,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2018,2018,°c,4.677,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2019,2019,°c,1.79,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2020,2020,°c,2.953,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2021,2021,°c,0.882,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2022,2022,°c,2.935,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7003,March,2023,2023,°c,4.697,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1992,1992,°c,-0.286,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1993,1993,°c,0.182,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1994,1994,°c,-2.47,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1995,1995,°c,-0.27,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1996,1996,°c,-1.543,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1997,1997,°c,1.519,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1998,1998,°c,1.311,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,1999,1999,°c,-1.769,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2000,2000,°c,2.236,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2001,2001,°c,2.588,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2002,2002,°c,-0.116,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2003,2003,°c,-1.021,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2004,2004,°c,0.775,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2005,2005,°c,-0.085,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2006,2006,°c,0.989,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2007,2007,°c,3.125,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2008,2008,°c,1.651,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2009,2009,°c,-1.121,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2010,2010,°c,1.756,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2011,2011,°c,2.369,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2012,2012,°c,2.418,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2013,2013,°c,0.484,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2014,2014,°c,0.529,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2015,2015,°c,0.859,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2016,2016,°c,1.384,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2017,2017,°c,-0.168,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2018,2018,°c,1.366,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2019,2019,°c,1.751,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2020,2020,°c,1.13,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2021,2021,°c,0.181,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2022,2022,°c,4.489,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7004,April,2023,2023,°c,1.656,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1992,1992,°c,-2.139,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1993,1993,°c,-1.194,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1994,1994,°c,0.795,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1995,1995,°c,0.627,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1996,1996,°c,-1.179,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1997,1997,°c,-0.254,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1998,1998,°c,-0.629,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,1999,1999,°c,0.6,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2000,2000,°c,3.131,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2001,2001,°c,3.91,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2002,2002,°c,-0.437,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2003,2003,°c,-1.167,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2004,2004,°c,1.502,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2005,2005,°c,-0.597,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2006,2006,°c,3.153,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2007,2007,°c,1.579,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2008,2008,°c,3.18,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2009,2009,°c,0.011,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2010,2010,°c,0.249,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2011,2011,°c,2.692,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2012,2012,°c,0.328,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2013,2013,°c,0.825,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2014,2014,°c,1.795,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2015,2015,°c,1.028,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2016,2016,°c,2.203,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2017,2017,°c,3.465,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2018,2018,°c,1.145,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2019,2019,°c,1.178,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2020,2020,°c,2.077,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2021,2021,°c,2.504,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2022,2022,°c,2.023,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7005,May,2023,2023,°c,1.136,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1992,1992,°c,-0.755,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1993,1993,°c,0.034,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1994,1994,°c,1.179,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1995,1995,°c,0.281,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1996,1996,°c,0.153,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1997,1997,°c,0.701,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1998,1998,°c,-0.578,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,1999,1999,°c,-0.188,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2000,2000,°c,0.578,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2001,2001,°c,2.431,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2002,2002,°c,0.373,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2003,2003,°c,-0.127,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2004,2004,°c,1.061,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2005,2005,°c,1.287,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2006,2006,°c,0.879,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2007,2007,°c,1.557,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2008,2008,°c,3.111,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2009,2009,°c,-1.22,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2010,2010,°c,-0.362,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2011,2011,°c,1.732,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2012,2012,°c,0.336,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2013,2013,°c,1.336,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2014,2014,°c,0.772,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2015,2015,°c,1.142,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2016,2016,°c,1.755,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2017,2017,°c,1.418,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2018,2018,°c,0.809,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2019,2019,°c,-0.785,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2020,2020,°c,0.446,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2021,2021,°c,1.814,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2022,2022,°c,1.183,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7006,June,2023,2023,°c,2.765,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1992,1992,°c,-0.207,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1993,1993,°c,-0.325,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1994,1994,°c,1.735,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1995,1995,°c,0.953,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1996,1996,°c,-0.292,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1997,1997,°c,1.876,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1998,1998,°c,0.422,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,1999,1999,°c,-0.959,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2000,2000,°c,0.759,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2001,2001,°c,0.257,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2002,2002,°c,-0.445,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2003,2003,°c,1.109,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2004,2004,°c,-0.401,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2005,2005,°c,0.77,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2006,2006,°c,0.437,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2007,2007,°c,0.185,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2008,2008,°c,1.092,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2009,2009,°c,-0.134,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2010,2010,°c,-0.246,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2011,2011,°c,0.597,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2012,2012,°c,0.304,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2013,2013,°c,0.722,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2014,2014,°c,0.422,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2015,2015,°c,1.861,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2016,2016,°c,0.857,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2017,2017,°c,1.433,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2018,2018,°c,1.869,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2019,2019,°c,2.307,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2020,2020,°c,-0.11,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2021,2021,°c,1.954,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2022,2022,°c,2.765,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7007,July,2023,2023,°c,1.831,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1992,1992,°c,-0.931,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1993,1993,°c,-1.188,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1994,1994,°c,1.703,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1995,1995,°c,1.375,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1996,1996,°c,-0.195,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1997,1997,°c,0.659,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1998,1998,°c,0.485,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,1999,1999,°c,1.383,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2000,2000,°c,1.236,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2001,2001,°c,0.307,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2002,2002,°c,1.359,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2003,2003,°c,0.767,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2004,2004,°c,0.571,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2005,2005,°c,-0.407,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2006,2006,°c,1.276,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2007,2007,°c,0.558,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2008,2008,°c,1.49,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2009,2009,°c,0.755,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2010,2010,°c,0.716,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2011,2011,°c,1.945,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2012,2012,°c,1.56,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2013,2013,°c,1.222,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2014,2014,°c,0.023,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2015,2015,°c,0.212,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2016,2016,°c,0.349,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2017,2017,°c,0.222,E,Estimated value
ET,Temperature change on land,762,Tajikistan,7271,Temperature change,7008,August,2018,2018,°c,0.827,E,Estimated value
